comment_id;comment_text;Sub1_Toxic;Sub2_Engaging;Sub3_FactClaiming;fold
1815;Interessant, diese Aussage..... das Herz schlägt nur, weil eine Herz-Lungenmaschine den Kreislauf stabil hält. Schaltet man diese Maschine ab, bleibt auch die menschliche Pumpe stehen. Ich verstehe diese Aussage nicht...... es scheint mal wieder das richtige Fachpersonal dort zu sitzen.;0;0;1;0
3133;Wieso? Meinungsvielfalt gehört ja wohl zur Demokratie, oder?;0;0;0;0
1021;Oder dem Moment in der erzählt dass er unaufgefordert Werbung von einem Makler erhielt.....;0;0;0;0
1321;Wow, das ist ja mal ein revolutionärer Vorschlag. Das hab ich ja erst zu meiner Schulzeit Anfang der 90er gelernt.;1;0;0;0
319;Auf dem Land gute Luft und schnelles Internet reicht vollkommen..;0;0;0;0
2471;@MEDIUM Tarifvertrag zählt aber nicht für private Arbeitgeber. Der Großteil ist privat. Also kein Vorteil!!!;0;0;1;0
3009;@USER, und in Siegen ist @USER geboren worden.;0;0;1;0
287;@USER mich stören die rechtsextremen Diskussionsteilnehmer der AfD. Die braunblauen Antidemokraten braucht niemand.;1;0;0;0
1182;Was ein Bullshit..warum arbeiten Frauen in Teilzeit ? Weil Frauen Mütter sind. Das ist nun mal genetisch und biologisch so. Und ich habe noch nie gehört, dass Töchter weniger TG als Jungs bekommen und bei mir in der firma verdienen Frauen genauso viel Gehalt wie die Männer.;1;1;1;0
3034;Tja wenn man Bundeswehr und Polizei verarscht gehen sie zur adf finde ich gut;0;0;0;0
2798;@USER ihr müsste ER ein bißchen auf due Zähne fühlen - Roth hinter Transparenten - Habeck;0;0;0;0
2088;Verdienen oder bekommen?;0;0;0;0
2037;Der Kühnert kennt nur das abnicken im Bundestag..;1;0;0;0
348;ARD und ZDF: Betreutes Denken.;1;0;0;0
60;Wie wäre es mit der Steuerpolitik der Partei DIE LINKE, die Einkommen bis 7.100€ entlasten und die Einkommen darüber mehr belasten möchte.;0;1;0;0
660;"@USER Bevor man den Begriff ""Sterberate"" einfach in den Raum wirft sollte man auch an dei Geburtenrate denken. Es sterben ca. 150.000 Menschen mehr als geboren werden. Es würde also mindestens 10 Jahre dauern um die ca. 1.500.000 Flüchtlinge(wenn keine mehr kommen) bis wird die alle untergebracht hätten.... Mal ein bisschen Nachdenken und nicht einfach irgendwelchen Parolen hinterher laufen.";0;1;1;0
2604;@USER meine Tochter wohnt mit baby im Frauenhaus seit einem Jahr und Ausländer haben trotz Bescheinigung ein Vorrecht wiederlich;0;1;1;0
